id;address;new_address;match
137;RUE BENOIT MALON;RUE BENOIT MALON;True
138;RUE EDOUARD NIEUPORT;RUE EDOUARD NIEUPORT;True
139;RUE PAGES;RUE PAGES;True
140;AVENUE GEORGES POMPIDOU;AVENUE GEORGES POMPIDOU;True
141;RUE DU COMMANDANT RIVIERE;RUE DU COMMANDANT RIVIERE;True
142;RUE LEDRU ROLLIN;RUE LEDRU ROLLIN;True
143;RUE SALOMON DE ROTHSCHILD;RUE SALOMON DE ROTHSCHILD;True
144;AVENUE SISLEY;AVENUE SISLEY;True
145;QUAI GALLIENI;QUAI GALLIENI;True
146;AVENUE JUSTIN GODART;AVENUE JUSTIN GODART;True
147;RUE BENOIT MALON;RUE BENOIT MALON;True
148;RUE EDOUARD NIEUPORT;RUE EDOUARD NIEUPORT;True
149;RUE PAGES;RUE PAGES;True
150;AVENUE GEORGES POMPIDOU;AVENUE GEORGES POMPIDOU;True
151;RUE DU COMMANDANT RIVIERE;RUE DU COMMANDANT RIVIERE;True
152;RUE LEDRU ROLLIN;RUE LEDRU ROLLIN;True
153;RUE SALOMON DE ROTHSCHILD;RUE SALOMON DE ROTHSCHILD;True
154;AVENUE SISLEY;AVENUE SISLEY;True
155;RUE CHEVREUL;RUE CHEVREUL;True
156;PASSAGE DES PETITS CLOS;PASSAGE DES PETITS CLOS;True
157;IMPASSE DES PETITS CLOS;IMPASSE DES PETITS CLOS;True
158;PASSAGE DES CLOSEAUX;;False
159;RUE DES COUVALOUX;RUE DES COUVALOUX;True
160;RUE PIERRE DUPONT;RUE PIERRE DUPONT;True
161;RUE FERNAND FOREST;RUE FERNAND FOREST;True
162;RUE GARIBALDI;RUE GARIBALDI;True
163;AVENUE DU MARECHAL JUIN;AVENUE DU MARECHAL JUIN;True
164;PASSAGE PIERRE LOTI;PASSAGE PIERRE LOTI;True
165;RUE DES MOULINEAUX;RUE DES MOULINEAUX;True
166;PASSAGE DU VAL D OR;;False
167;RUE DU VAL D OR;;False
168;RUE HENRI REGNAULT;RUE HENRI REGNAULT;True
169;RUE JEAN JACQUES ROUSSEAU;;False
170;RUE DE SAINT CLOUD;;False
171;BOULEVARD HENRI SELLIER;BOULEVARD HENRI SELLIER;True
172;RUE DE SEVRES;RUE DE SEVRES;True
173;RUE DE L AMIRAL WILLAUMEZ;;False
174;RUE CHEVREUL;RUE CHEVREUL;True
175;PASSAGE DES PETITS CLOS;PASSAGE DES PETITS CLOS;True
176;IMPASSE DES PETITS CLOS;IMPASSE DES PETITS CLOS;True
177;PASSAGE DES CLOSEAUX;;False
178;RUE DES COUVALOUX;RUE DES COUVALOUX;True
179;RUE PIERRE DUPONT;RUE PIERRE DUPONT;True
180;RUE FERNAND FOREST;RUE FERNAND FOREST;True
181;RUE GARIBALDI;RUE GARIBALDI;True
182;AVENUE DU MARECHAL JUIN;AVENUE DU MARECHAL JUIN;True
183;PASSAGE PIERRE LOTI;PASSAGE PIERRE LOTI;True
184;RUE DES MOULINEAUX;RUE DES MOULINEAUX;True
185;RUE DU VAL D OR;;False
186;PASSAGE DU VAL D OR;;False
187;RUE HENRI REGNAULT;RUE HENRI REGNAULT;True
188;RUE JEAN JACQUES ROUSSEAU;;False
189;RUE DE SAINT CLOUD;;False
190;BOULEVARD HENRI SELLIER;BOULEVARD HENRI SELLIER;True
191;RUE DE SEVRES;RUE DE SEVRES;True
192;RUE DE L AMIRAL WILLAUMEZ;;False
193;ALLEE DES BERGERONNETTES;ALLEE DES BERGERONNETTES;True
194;RUE DES TERRES BLANCHES;RUE DES TERRES BLANCHES;True
195;RUE DU CALVAIRE;RUE DU CALVAIRE;True
196;RUE DES CARRIERES;RUE DES CARRIERES;True
197;RUE DE LA CERISAIE;RUE DE LA CERISAIE;True
198;RUE CLUSERET;RUE CLUSERET;True
199;AVENUE DE LA CRIOLLA;AVENUE DE LA CRIOLLA;True
200;RUE VICTOR DIEDERICH;RUE VICTOR DIEDERICH;True
201;RUE ARTHEME GENTEUR;RUE ARTHEME GENTEUR;True
202;IMP SOMMELIERS DE LA GROUE;;False
203;CHEMIN DES HOCQUETTES;CHEMIN DES HOCQUETTES;True
204;DOMAINE DES HOCQUETTES;DOMAINE DES HOCQUETTES;True
205;AVENUE DES LANDES;AVENUE DES LANDES;True
206;ALLEE DES LILAS;ALLEE DES LILAS;True
207;RUE DE LA GARE DE LONGCHAMP;;False
208;GARE SURESNES LONGCHAMP;;False
209;CHEMIN DE LA MOTTE;CHEMIN DE LA MOTTE;True
210;RUE DES NOUVELLES;RUE DES NOUVELLES;True
211;ALLEE DES OLIVIERS;ALLEE DES OLIVIERS;True
212;PASSAGE DU PANORAMA;;False
213;RUE DU PAS SAINT MAURICE;;False
214;ALLEE DE LA PEPINIERE;ALLEE DE LA PEPINIERE;True
215;RUE DU POINT HAUT;RUE DU POINT HAUT;True
