id;numero;nom_rue;nom_complet;secteur maternelle;secteur elementaire
2767;39;RUE DE LOCARNO;39 RUE DE LOCARNO;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
2768;5;RUE DES CHENES;5 RUE DES CHENES;Maternelle des Cottages;Elémentaire des Cottages
2769;35;AVENUE FRANKLIN ROOSEVELT;35 AVENUE FRANKLIN ROOSEVELT;Maternelle des Cottages;Elémentaire des Cottages
2770;1;ALLEE DES ORANGERS;1 ALLEE DES ORANGERS;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
2771;12;RUE DU DOCTEUR EMILE ROUX;12 RUE DU DOCTEUR EMILE ROUX;Maternelle des Raguidelles;Elémentaire des Raguidelles
2772;15;RUE DU BAC;15 RUE DU BAC;Maternelle Simone Veil;Elémentaire Jules Ferry
2773;19;RUE DES MEUNIERS;19 BIS RUE DES MEUNIERS;Maternelle République;Elémentaire Parc
2774;5;AVENUE DE LA BELLE GABRIELLE;5 AVENUE DE LA BELLE GABRIELLE;Maternelle Marcel Mouloudji;
2775;49;RUE DE LA REPUBLIQUE;49 RUE DE LA REPUBLIQUE;Maternelle République;Elémentaire Parc
2776;47;RUE DE LA REPUBLIQUE;47 RUE DE LA REPUBLIQUE;Maternelle République;Elémentaire Parc
2777;7;RUE DES NOUVELLES;7 RUE DES NOUVELLES;Maternelle des Raguidelles;Elémentaire des Raguidelles
2778;15;RUE DES COUVALOUX;15 RUE DES COUVALOUX;Maternelle Marcel Mouloudji;Elémentaire Marcel Mouloudji
2779;39;RUE DES CHENES;39 RUE DES CHENES;Maternelle des Cottages;Elémentaire des Cottages
2780;12;RUE DES CARRIERES;12 RUE DES CARRIERES;Maternelle des Raguidelles;Elémentaire des Raguidelles
2781;7;ALLEE DES PRIMEVERES;7 ALLEE DES PRIMEVERES;Maternelle Robert Pontillon;Elémentaire Robert Pontillon
2782;65;RUE DE LA REPUBLIQUE;65 RUE DE LA REPUBLIQUE;Maternelle République;Elémentaire Parc
2783;8;RUE DES BARTOUX;8 RUE DES BARTOUX;Maternelle des Cottages;Elémentaire des Cottages
2784;9;PLACE DU GENERAL LECLERC;9 PLACE DU GENERAL LECLERC;Maternelle Simone Veil;Elémentaire Jules Ferry
2785;33;RUE DE LA LIBERTE;33 RUE DE LA LIBERTE;Maternelle des Cottages;Elémentaire des Cottages
2786;23;CHEMIN DES ROSES;23 CHEMIN DES ROSES;Maternelle des Raguidelles;Elémentaire des Raguidelles
2787;36;AVENUE DE FOUILLEUSE;36 AVENUE DE FOUILLEUSE;Maternelle des Raguidelles;Elémentaire des Raguidelles
2788;44;RUE DE LA REPUBLIQUE;44 RUE DE LA REPUBLIQUE;Maternelle République;Elémentaire Parc
2789;9;RUE DES COTTAGES;9 BIS RUE DES COTTAGES;Maternelle des Cottages;Elémentaire des Cottages
2790;2;ALLEE DES GROS BUISSONS;2 ALLEE DES GROS BUISSONS;Maternelle Wilson;Elémentaire Vaillant Jaurès
2791;18;RUE GUILLEMETTE FAUSSART;18 RUE GUILLEMETTE FAUSSART;Maternelle des Cottages;Elémentaire des Cottages
2792;1;AVENUE DU MARECHAL JUIN;1 AVENUE DU MARECHAL JUIN;Maternelle Marcel Mouloudji;Elémentaire Marcel Mouloudji
2793;22;RUE DES PUITS;22 RUE DES PUITS;Maternelle Honoré d'Estienne d'Orves;Elémentaire Honoré d'Estienne d'Orves
2794;35;RUE CLUSERET;35 TER RUE CLUSERET;Maternelle des Raguidelles;Elémentaire des Raguidelles
2795;11;RUE DE LOCARNO;11 RUE DE LOCARNO;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
